"Year","Economy_Label","Flow_Label","US_at_current_prices_in_millions_Value"
"1951-01-01 00:00:00","Hong_Kong","Exports",776.0
"1951-01-01 00:00:00","Hong_Kong","Imports",852.0
"1951-01-01 00:00:00","Taiwan","Exports",98.0
"1951-01-01 00:00:00","Taiwan","Imports",134.0
"1951-01-01 00:00:00","Colombia","Exports",463.0
"1951-01-01 00:00:00","Colombia","Imports",419.0
"1951-01-01 00:00:00","Denmark","Exports",839.0
"1951-01-01 00:00:00","Denmark","Imports",1012.0
"1951-01-01 00:00:00","Egypt","Exports",583.0
"1951-01-01 00:00:00","Egypt","Imports",696.0
"1951-01-01 00:00:00","Finland","Exports",867.0
"1951-01-01 00:00:00","Finland","Imports",676.0
"1951-01-01 00:00:00","France","Exports",4312.0
"1951-01-01 00:00:00","France","Imports",4712.0
"1951-01-01 00:00:00","Germany","Exports",0.0
"1951-01-01 00:00:00","Germany","Imports",0.0
"1951-01-01 00:00:00","Hungary","Exports",396.0
"1951-01-01 00:00:00","Hungary","Imports",391.0
"1951-01-01 00:00:00","India","Exports",1602.0
"1951-01-01 00:00:00","India","Imports",1639.0
"1951-01-01 00:00:00","Indonesia","Exports",0.0
"1951-01-01 00:00:00","Indonesia","Imports",0.0
"1951-01-01 00:00:00","Israel","Exports",45.0
"1951-01-01 00:00:00","Israel","Imports",380.0
"1951-01-01 00:00:00","Italy","Exports",1648.0
"1951-01-01 00:00:00","Italy","Imports",2168.0
"1951-01-01 00:00:00","Japan","Exports",1351.0
"1951-01-01 00:00:00","Japan","Imports",1988.0
"1951-01-01 00:00:00","Malaysia","Exports",1308.0
"1951-01-01 00:00:00","Malaysia","Imports",757.0
"1951-01-01 00:00:00","Mexico","Exports",644.0
"1951-01-01 00:00:00","Mexico","Imports",822.0
"1951-01-01 00:00:00","Netherlands","Exports",2238.0
"1951-01-01 00:00:00","Netherlands","Imports",3019.0
"1951-01-01 00:00:00","Norway","Exports",620.0
"1951-01-01 00:00:00","Norway","Imports",877.0
"1951-01-01 00:00:00","Peru","Exports",253.0
"1951-01-01 00:00:00","Peru","Imports",280.0
"1951-01-01 00:00:00","Philippines","Exports",428.0
"1951-01-01 00:00:00","Philippines","Imports",538.0
"1951-01-01 00:00:00","Poland","Exports",762.0
"1951-01-01 00:00:00","Poland","Imports",925.0
"1951-01-01 00:00:00","Portugal","Exports",263.0
"1951-01-01 00:00:00","Portugal","Imports",329.0
"1951-01-01 00:00:00","South_Korea","Exports",11.0
"1951-01-01 00:00:00","South_Korea","Imports",76.0
"1951-01-01 00:00:00","Russia","Exports",0.0
"1951-01-01 00:00:00","Russia","Imports",0.0
"1951-01-01 00:00:00","Saudi_Arabia","Exports",500.0
"1951-01-01 00:00:00","Saudi_Arabia","Imports",175.0
"1951-01-01 00:00:00","South_Africa","Exports",1389.0
"1951-01-01 00:00:00","South_Africa","Imports",1407.0
"1951-01-01 00:00:00","Spain","Exports",482.0
"1951-01-01 00:00:00","Spain","Imports",424.0
"1951-01-01 00:00:00","Sweden","Exports",1783.0
"1951-01-01 00:00:00","Sweden","Imports",1777.0
"1951-01-01 00:00:00","Switzerland","Exports",1073.0
"1951-01-01 00:00:00","Switzerland","Imports",1353.0
"1951-01-01 00:00:00","Thailand","Exports",370.0
"1951-01-01 00:00:00","Thailand","Imports",272.0
"1951-01-01 00:00:00","Tunisia","Exports",108.0
"1951-01-01 00:00:00","Tunisia","Imports",182.0
"1951-01-01 00:00:00","Turkiye","Exports",314.0
"1951-01-01 00:00:00","Turkiye","Imports",402.0
"1951-01-01 00:00:00","Ukraine","Exports",0.0
"1951-01-01 00:00:00","Ukraine","Imports",0.0
"1951-01-01 00:00:00","United_Kingdom","Exports",7585.0
"1951-01-01 00:00:00","United_Kingdom","Imports",10931.0
"1951-01-01 00:00:00","United_States","Exports",13967.0
"1951-01-01 00:00:00","United_States","Imports",11922.0
"1951-01-01 00:00:00","Venezuela","Exports",1187.0
"1951-01-01 00:00:00","Venezuela","Imports",765.0
"1951-01-01 00:00:00","Viet_Nam","Exports",0.0
"1951-01-01 00:00:00","Viet_Nam","Imports",0.0
"1952-01-01 00:00:00","Argentina","Exports",688.0
"1952-01-01 00:00:00","Argentina","Imports",1179.0
"1952-01-01 00:00:00","Australia","Exports",1729.0
"1952-01-01 00:00:00","Australia","Imports",1963.0
"1952-01-01 00:00:00","Belgium","Exports",2454.0
"1952-01-01 00:00:00","Belgium","Imports",2462.0
"1952-01-01 00:00:00","Brazil","Exports",1416.0
"1952-01-01 00:00:00","Brazil","Imports",1982.0
"1952-01-01 00:00:00","Canada","Exports",4630.0
"1952-01-01 00:00:00","Canada","Imports",4373.0
"1952-01-01 00:00:00","Chile","Exports",453.0
"1952-01-01 00:00:00","Chile","Imports",370.0
"1952-01-01 00:00:00","China","Exports",820.0
"1952-01-01 00:00:00","China","Imports",1120.0
"1952-01-01 00:00:00","Hong_Kong","Exports",507.0
"1952-01-01 00:00:00","Hong_Kong","Imports",661.0
"1952-01-01 00:00:00","Taiwan","Exports",117.0
"1952-01-01 00:00:00","Taiwan","Imports",187.0
"1952-01-01 00:00:00","Colombia","Exports",473.0
"1952-01-01 00:00:00","Colombia","Imports",415.0
"1952-01-01 00:00:00","Denmark","Exports",850.0
"1952-01-01 00:00:00","Denmark","Imports",962.0
"1952-01-01 00:00:00","Egypt","Exports",431.0
"1952-01-01 00:00:00","Egypt","Imports",654.0
"1952-01-01 00:00:00","Finland","Exports",717.0
"1952-01-01 00:00:00","Finland","Imports",792.0
"1952-01-01 00:00:00","France","Exports",4125.0
"1952-01-01 00:00:00","France","Imports",4670.0
"1952-01-01 00:00:00","Germany","Exports",0.0
"1952-01-01 00:00:00","Germany","Imports",0.0
"1952-01-01 00:00:00","Hungary","Exports",438.0
"1952-01-01 00:00:00","Hungary","Imports",456.0
"1952-01-01 00:00:00","India","Exports",1243.0
"1952-01-01 00:00:00","India","Imports",1627.0
"1952-01-01 00:00:00","Indonesia","Exports",0.0
"1952-01-01 00:00:00","Indonesia","Imports",0.0
"1952-01-01 00:00:00","Israel","Exports",44.0
"1952-01-01 00:00:00","Israel","Imports",321.0
"1952-01-01 00:00:00","Italy","Exports",1387.0
"1952-01-01 00:00:00","Italy","Imports",2336.0
"1952-01-01 00:00:00","Japan","Exports",1269.0
"1952-01-01 00:00:00","Japan","Imports",2023.0
"1952-01-01 00:00:00","Malaysia","Exports",861.0
"1952-01-01 00:00:00","Malaysia","Imports",689.0
"1952-01-01 00:00:00","Mexico","Exports",665.0
"1952-01-01 00:00:00","Mexico","Imports",807.0
"1952-01-01 00:00:00","Netherlands","Exports",2438.0
"1952-01-01 00:00:00","Netherlands","Imports",2605.0
"1952-01-01 00:00:00","Norway","Exports",565.0
"1952-01-01 00:00:00","Norway","Imports",873.0
"1952-01-01 00:00:00","Peru","Exports",239.0
"1952-01-01 00:00:00","Peru","Imports",288.0
"1952-01-01 00:00:00","Philippines","Exports",346.0
"1952-01-01 00:00:00","Philippines","Imports",468.0
"1952-01-01 00:00:00","Poland","Exports",776.0
"1952-01-01 00:00:00","Poland","Imports",863.0
"1952-01-01 00:00:00","Portugal","Exports",237.0
"1952-01-01 00:00:00","Portugal","Imports",347.0
"1952-01-01 00:00:00","South_Korea","Exports",28.0
"1952-01-01 00:00:00","South_Korea","Imports",214.0
"1952-01-01 00:00:00","Russia","Exports",0.0
"1952-01-01 00:00:00","Russia","Imports",0.0
"1952-01-01 00:00:00","Saudi_Arabia","Exports",540.0
"1952-01-01 00:00:00","Saudi_Arabia","Imports",265.0
"1952-01-01 00:00:00","South_Africa","Exports",1370.0
"1952-01-01 00:00:00","South_Africa","Imports",1250.0
"1952-01-01 00:00:00","Spain","Exports",458.0
"1952-01-01 00:00:00","Spain","Imports",572.0
"1952-01-01 00:00:00","Sweden","Exports",1572.0
"1952-01-01 00:00:00","Sweden","Imports",1730.0
"1952-01-01 00:00:00","Switzerland","Exports",1086.0
"1952-01-01 00:00:00","Switzerland","Imports",1191.0
"1952-01-01 00:00:00","Thailand","Exports",329.0
"1952-01-01 00:00:00","Thailand","Imports",304.0
"1952-01-01 00:00:00","Tunisia","Exports",115.0
"1952-01-01 00:00:00","Tunisia","Imports",185.0
"1952-01-01 00:00:00","Turkiye","Exports",363.0
"1952-01-01 00:00:00","Turkiye","Imports",556.0
"1952-01-01 00:00:00","Ukraine","Exports",0.0
"1952-01-01 00:00:00","Ukraine","Imports",0.0
"1952-01-01 00:00:00","United_Kingdom","Exports",7585.0
"1952-01-01 00:00:00","United_Kingdom","Imports",9736.0
"1952-01-01 00:00:00","United_States","Exports",13203.0
"1952-01-01 00:00:00","United_States","Imports",11707.0
"1952-01-01 00:00:00","Venezuela","Exports",1350.0
"1952-01-01 00:00:00","Venezuela","Imports",862.0
"1952-01-01 00:00:00","Viet_Nam","Exports",0.0
"1952-01-01 00:00:00","Viet_Nam","Imports",0.0
"1953-01-01 00:00:00","Argentina","Exports",1125.0
"1953-01-01 00:00:00","Argentina","Imports",795.0
"1953-01-01 00:00:00","Australia","Exports",2017.0
"1953-01-01 00:00:00","Australia","Imports",1447.0
"1953-01-01 00:00:00","Belgium","Exports",2268.0
"1953-01-01 00:00:00","Belgium","Imports",2430.0
"1953-01-01 00:00:00","Brazil","Exports",1539.0
